SNMP sw2_ethif table:
1.3.6.1.2.1.2.2.1.1.1 = 1
1.3.6.1.2.1.2.2.1.1.100 = 100
1.3.6.1.2.1.2.2.1.1.5001 = 5001
1.3.6.1.2.1.2.2.1.1.5179 = 5179
1.3.6.1.2.1.2.2.1.1.5180 = 5180
1.3.6.1.2.1.2.2.1.1.5181 = 5181
1.3.6.1.2.1.2.2.1.1.5183 = 5183
1.3.6.1.2.1.2.2.1.1.5184 = 5184
1.3.6.1.2.1.2.2.1.1.10101 = 10101
1.3.6.1.2.1.2.2.1.1.10102 = 10102
1.3.6.1.2.1.2.2.1.1.10103 = 10103
1.3.6.1.2.1.2.2.1.1.10104 = 10104
1.3.6.1.2.1.2.2.1.1.10105 = 10105
1.3.6.1.2.1.2.2.1.1.10106 = 10106
1.3.6.1.2.1.2.2.1.1.10107 = 10107
1.3.6.1.2.1.2.2.1.1.10108 = 10108
1.3.6.1.2.1.2.2.1.1.10109 = 10109
1.3.6.1.2.1.2.2.1.1.10110 = 10110
1.3.6.1.2.1.2.2.1.1.10111 = 10111
1.3.6.1.2.1.2.2.1.1.10112 = 10112
1.3.6.1.2.1.2.2.1.1.10113 = 10113
1.3.6.1.2.1.2.2.1.1.10114 = 10114
1.3.6.1.2.1.2.2.1.1.10115 = 10115
1.3.6.1.2.1.2.2.1.1.10116 = 10116
1.3.6.1.2.1.2.2.1.1.10117 = 10117
1.3.6.1.2.1.2.2.1.1.10118 = 10118
1.3.6.1.2.1.2.2.1.1.10119 = 10119
1.3.6.1.2.1.2.2.1.1.10120 = 10120
1.3.6.1.2.1.2.2.1.1.10121 = 10121
1.3.6.1.2.1.2.2.1.1.10122 = 10122
1.3.6.1.2.1.2.2.1.1.10123 = 10123
1.3.6.1.2.1.2.2.1.1.10124 = 10124
1.3.6.1.2.1.2.2.1.1.10125 = 10125
1.3.6.1.2.1.2.2.1.1.10126 = 10126
1.3.6.1.2.1.2.2.1.1.10127 = 10127
1.3.6.1.2.1.2.2.1.1.10128 = 10128
1.3.6.1.2.1.2.2.1.1.10129 = 10129
1.3.6.1.2.1.2.2.1.1.10130 = 10130
1.3.6.1.2.1.2.2.1.1.10131 = 10131
1.3.6.1.2.1.2.2.1.1.10132 = 10132
1.3.6.1.2.1.2.2.1.1.10133 = 10133
1.3.6.1.2.1.2.2.1.1.10134 = 10134
1.3.6.1.2.1.2.2.1.1.10135 = 10135
1.3.6.1.2.1.2.2.1.1.10136 = 10136
1.3.6.1.2.1.2.2.1.1.10137 = 10137
1.3.6.1.2.1.2.2.1.1.10138 = 10138
