SNMP sw2_ifname table:
1.3.6.1.2.1.31.1.1.1.1.1 = Vl1
1.3.6.1.2.1.31.1.1.1.1.100 = Vl100
1.3.6.1.2.1.31.1.1.1.1.5001 = Po1
1.3.6.1.2.1.31.1.1.1.1.5179 = StackPort1
1.3.6.1.2.1.31.1.1.1.1.5180 = StackSub-St1-1
1.3.6.1.2.1.31.1.1.1.1.5181 = StackSub-St1-2
1.3.6.1.2.1.31.1.1.1.1.5183 = StackSub-St2-1
1.3.6.1.2.1.31.1.1.1.1.5184 = StackSub-St2-2
1.3.6.1.2.1.31.1.1.1.1.10101 = Gi1/0/1
1.3.6.1.2.1.31.1.1.1.1.10102 = Gi1/0/2
1.3.6.1.2.1.31.1.1.1.1.10103 = Gi1/0/3
1.3.6.1.2.1.31.1.1.1.1.10104 = Gi1/0/4
1.3.6.1.2.1.31.1.1.1.1.10105 = Gi1/0/5
1.3.6.1.2.1.31.1.1.1.1.10106 = Gi1/0/6
1.3.6.1.2.1.31.1.1.1.1.10107 = Gi1/0/7
1.3.6.1.2.1.31.1.1.1.1.10108 = Gi1/0/8
1.3.6.1.2.1.31.1.1.1.1.10109 = Gi1/0/9
1.3.6.1.2.1.31.1.1.1.1.10110 = Gi1/0/10
1.3.6.1.2.1.31.1.1.1.1.10111 = Gi1/0/11
1.3.6.1.2.1.31.1.1.1.1.10112 = Gi1/0/12
1.3.6.1.2.1.31.1.1.1.1.10113 = Gi1/0/13
1.3.6.1.2.1.31.1.1.1.1.10114 = Gi1/0/14
1.3.6.1.2.1.31.1.1.1.1.10115 = Gi1/0/15
1.3.6.1.2.1.31.1.1.1.1.10116 = Gi1/0/16
1.3.6.1.2.1.31.1.1.1.1.10117 = Gi1/0/17
1.3.6.1.2.1.31.1.1.1.1.10118 = Gi1/0/18
1.3.6.1.2.1.31.1.1.1.1.10119 = Gi1/0/19
1.3.6.1.2.1.31.1.1.1.1.10120 = Gi1/0/20
1.3.6.1.2.1.31.1.1.1.1.10121 = Gi1/0/21
1.3.6.1.2.1.31.1.1.1.1.10122 = Gi1/0/22
1.3.6.1.2.1.31.1.1.1.1.10123 = Gi1/0/23
1.3.6.1.2.1.31.1.1.1.1.10124 = Gi1/0/24
1.3.6.1.2.1.31.1.1.1.1.10125 = Gi1/0/25
1.3.6.1.2.1.31.1.1.1.1.10126 = Gi1/0/26
1.3.6.1.2.1.31.1.1.1.1.10127 = Gi1/0/27
1.3.6.1.2.1.31.1.1.1.1.10128 = Gi1/0/28
1.3.6.1.2.1.31.1.1.1.1.10129 = Gi1/0/29
1.3.6.1.2.1.31.1.1.1.1.10130 = Gi1/0/30
1.3.6.1.2.1.31.1.1.1.1.10131 = Gi1/0/31
1.3.6.1.2.1.31.1.1.1.1.10132 = Gi1/0/32
1.3.6.1.2.1.31.1.1.1.1.10133 = Gi1/0/33
1.3.6.1.2.1.31.1.1.1.1.10134 = Gi1/0/34
1.3.6.1.2.1.31.1.1.1.1.10135 = Gi1/0/35
1.3.6.1.2.1.31.1.1.1.1.10136 = Gi1/0/36
1.3.6.1.2.1.31.1.1.1.1.10137 = Gi1/0/37
1.3.6.1.2.1.31.1.1.1.1.10138 = Gi1/0/38
1.3.6.1.2.1.31.1.1.1.1.10139 = Gi1/0/39
1.3.6.1.2.1.31.1.1.1.1.10140 = Gi1/0/40
1.3.6.1.2.1.31.1.1.1.1.10141 = Gi1/0/41
1.3.6.1.2.1.31.1.1.1.1.10142 = Gi1/0/42
1.3.6.1.2.1.31.1.1.1.1.10143 = Gi1/0/43
1.3.6.1.2.1.31.1.1.1.1.10144 = Gi1/0/44
1.3.6.1.2.1.31.1.1.1.1.10145 = Gi1/0/45
1.3.6.1.2.1.31.1.1.1.1.10146 = Gi1/0/46
1.3.6.1.2.1.31.1.1.1.1.10147 = Gi1/0/47
1.3.6.1.2.1.31.1.1.1.1.10148 = Gi1/0/48
1.3.6.1.2.1.31.1.1.1.1.10301 = Gi1/1/1
1.3.6.1.2.1.31.1.1.1.1.10302 = Gi1/1/2
1.3.6.1.2.1.31.1.1.1.1.10303 = Gi1/1/3
1.3.6.1.2.1.31.1.1.1.1.10304 = Gi1/1/4
1.3.6.1.2.1.31.1.1.1.1.10401 = Te1/1/1
1.3.6.1.2.1.31.1.1.1.1.10402 = Te1/1/2
1.3.6.1.2.1.31.1.1.1.1.10601 = Gi2/0/1
1.3.6.1.2.1.31.1.1.1.1.10602 = Gi2/0/2
1.3.6.1.2.1.31.1.1.1.1.10603 = Gi2/0/3
1.3.6.1.2.1.31.1.1.1.1.10604 = Gi2/0/4
1.3.6.1.2.1.31.1.1.1.1.10605 = Gi2/0/5
1.3.6.1.2.1.31.1.1.1.1.10606 = Gi2/0/6
1.3.6.1.2.1.31.1.1.1.1.10607 = Gi2/0/7
1.3.6.1.2.1.31.1.1.1.1.10608 = Gi2/0/8
1.3.6.1.2.1.31.1.1.1.1.10609 = Gi2/0/9
1.3.6.1.2.1.31.1.1.1.1.10610 = Gi2/0/10
1.3.6.1.2.1.31.1.1.1.1.10611 = Gi2/0/11
1.3.6.1.2.1.31.1.1.1.1.10612 = Gi2/0/12
1.3.6.1.2.1.31.1.1.1.1.10613 = Gi2/0/13
1.3.6.1.2.1.31.1.1.1.1.10614 = Gi2/0/14
1.3.6.1.2.1.31.1.1.1.1.10615 = Gi2/0/15
1.3.6.1.2.1.31.1.1.1.1.10616 = Gi2/0/16
1.3.6.1.2.1.31.1.1.1.1.10617 = Gi2/0/17
1.3.6.1.2.1.31.1.1.1.1.10618 = Gi2/0/18
1.3.6.1.2.1.31.1.1.1.1.10619 = Gi2/0/19
1.3.6.1.2.1.31.1.1.1.1.10620 = Gi2/0/20
1.3.6.1.2.1.31.1.1.1.1.10621 = Gi2/0/21
1.3.6.1.2.1.31.1.1.1.1.10622 = Gi2/0/22
1.3.6.1.2.1.31.1.1.1.1.10623 = Gi2/0/23
1.3.6.1.2.1.31.1.1.1.1.10624 = Gi2/0/24
1.3.6.1.2.1.31.1.1.1.1.10625 = Gi2/0/25
1.3.6.1.2.1.31.1.1.1.1.10626 = Gi2/0/26
1.3.6.1.2.1.31.1.1.1.1.10627 = Gi2/0/27
1.3.6.1.2.1.31.1.1.1.1.10628 = Gi2/0/28
1.3.6.1.2.1.31.1.1.1.1.10629 = Gi2/0/29
1.3.6.1.2.1.31.1.1.1.1.10630 = Gi2/0/30
1.3.6.1.2.1.31.1.1.1.1.10631 = Gi2/0/31
1.3.6.1.2.1.31.1.1.1.1.10632 = Gi2/0/32
1.3.6.1.2.1.31.1.1.1.1.10633 = Gi2/0/33
1.3.6.1.2.1.31.1.1.1.1.10634 = Gi2/0/34
1.3.6.1.2.1.31.1.1.1.1.10635 = Gi2/0/35
1.3.6.1.2.1.31.1.1.1.1.10636 = Gi2/0/36
1.3.6.1.2.1.31.1.1.1.1.10637 = Gi2/0/37
1.3.6.1.2.1.31.1.1.1.1.10638 = Gi2/0/38
1.3.6.1.2.1.31.1.1.1.1.10639 = Gi2/0/39
1.3.6.1.2.1.31.1.1.1.1.10640 = Gi2/0/40
1.3.6.1.2.1.31.1.1.1.1.10641 = Gi2/0/41
1.3.6.1.2.1.31.1.1.1.1.10642 = Gi2/0/42
1.3.6.1.2.1.31.1.1.1.1.10643 = Gi2/0/43
1.3.6.1.2.1.31.1.1.1.1.10644 = Gi2/0/44
1.3.6.1.2.1.31.1.1.1.1.10645 = Gi2/0/45
1.3.6.1.2.1.31.1.1.1.1.10646 = Gi2/0/46
1.3.6.1.2.1.31.1.1.1.1.10647 = Gi2/0/47
1.3.6.1.2.1.31.1.1.1.1.10648 = Gi2/0/48
1.3.6.1.2.1.31.1.1.1.1.10801 = Gi2/1/1
1.3.6.1.2.1.31.1.1.1.1.10802 = Gi2/1/2
1.3.6.1.2.1.31.1.1.1.1.10803 = Gi2/1/3
1.3.6.1.2.1.31.1.1.1.1.10804 = Gi2/1/4
1.3.6.1.2.1.31.1.1.1.1.10901 = Te2/1/1
1.3.6.1.2.1.31.1.1.1.1.10902 = Te2/1/2
1.3.6.1.2.1.31.1.1.1.1.14501 = Nu0
1.3.6.1.2.1.31.1.1.1.1.14502 = Fa0

