SNMP sw1_ifname table:
1.3.6.1.2.1.31.1.1.1.1.104 = VLAN-101
1.3.6.1.2.1.31.1.1.1.1.105 = VLAN-102
1.3.6.1.2.1.31.1.1.1.1.106 = VLAN-103
1.3.6.1.2.1.31.1.1.1.1.107 = VLAN-104
1.3.6.1.2.1.31.1.1.1.1.108 = VLAN-105
1.3.6.1.2.1.31.1.1.1.1.109 = VLAN-110
1.3.6.1.2.1.31.1.1.1.1.110 = VLAN-124
1.3.6.1.2.1.31.1.1.1.1.111 = VLAN-125
1.3.6.1.2.1.31.1.1.1.1.112 = VLAN-126
1.3.6.1.2.1.31.1.1.1.1.113 = VLAN-200
1.3.6.1.2.1.31.1.1.1.1.114 = VLAN-999
1.3.6.1.2.1.31.1.1.1.1.115 = Vl124
1.3.6.1.2.1.31.1.1.1.1.116 = Vl125
1.3.6.1.2.1.31.1.1.1.1.117 = Vl126
1.3.6.1.2.1.31.1.1.1.1.118 = VLAN-127
1.3.6.1.2.1.31.1.1.1.1.119 = VLAN-128
1.3.6.1.2.1.31.1.1.1.1.120 = VLAN-129
1.3.6.1.2.1.31.1.1.1.1.121 = Vl127
1.3.6.1.2.1.31.1.1.1.1.122 = Vl128
1.3.6.1.2.1.31.1.1.1.1.123 = Vl129
1.3.6.1.2.1.31.1.1.1.1.124 = Vl130
1.3.6.1.2.1.31.1.1.1.1.125 = VLAN-130

