SNMP sw1_ethif table:
1.3.6.1.2.1.2.2.1.3.124 = 53
1.3.6.1.2.1.2.2.1.3.125 = 53
1.3.6.1.2.1.2.2.1.4.1 = 1500
1.3.6.1.2.1.2.2.1.4.2 = 1500
1.3.6.1.2.1.2.2.1.4.3 = 9000
1.3.6.1.2.1.2.2.1.4.4 = 9000
1.3.6.1.2.1.2.2.1.4.5 = 9000
1.3.6.1.2.1.2.2.1.4.6 = 9000
1.3.6.1.2.1.2.2.1.4.7 = 9000
1.3.6.1.2.1.2.2.1.4.8 = 9000
1.3.6.1.2.1.2.2.1.4.9 = 9000
1.3.6.1.2.1.2.2.1.4.10 = 9000
1.3.6.1.2.1.2.2.1.4.11 = 9000
1.3.6.1.2.1.2.2.1.4.12 = 9000
1.3.6.1.2.1.2.2.1.4.13 = 9000
1.3.6.1.2.1.2.2.1.4.14 = 9000
1.3.6.1.2.1.2.2.1.4.15 = 9000
1.3.6.1.2.1.2.2.1.4.16 = 9000
1.3.6.1.2.1.2.2.1.4.17 = 9000
1.3.6.1.2.1.2.2.1.4.18 = 9000
1.3.6.1.2.1.2.2.1.4.19 = 9000
1.3.6.1.2.1.2.2.1.4.20 = 9000
1.3.6.1.2.1.2.2.1.4.21 = 9000
1.3.6.1.2.1.2.2.1.4.22 = 9000
1.3.6.1.2.1.2.2.1.4.23 = 9000
1.3.6.1.2.1.2.2.1.4.24 = 9000
1.3.6.1.2.1.2.2.1.4.25 = 9000
1.3.6.1.2.1.2.2.1.4.26 = 9000
1.3.6.1.2.1.2.2.1.4.27 = 9000
1.3.6.1.2.1.2.2.1.4.28 = 9000
1.3.6.1.2.1.2.2.1.4.29 = 9000
1.3.6.1.2.1.2.2.1.4.30 = 9000
1.3.6.1.2.1.2.2.1.4.31 = 9000
1.3.6.1.2.1.2.2.1.4.32 = 9000
1.3.6.1.2.1.2.2.1.4.33 = 9000
1.3.6.1.2.1.2.2.1.4.34 = 9000
1.3.6.1.2.1.2.2.1.4.35 = 0
1.3.6.1.2.1.2.2.1.4.38 = 9000
1.3.6.1.2.1.2.2.1.4.39 = 1514
1.3.6.1.2.1.2.2.1.4.40 = 9000
1.3.6.1.2.1.2.2.1.4.41 = 9000
1.3.6.1.2.1.2.2.1.4.42 = 9000
1.3.6.1.2.1.2.2.1.4.43 = 9000
1.3.6.1.2.1.2.2.1.4.45 = 9000
1.3.6.1.2.1.2.2.1.4.46 = 9000
1.3.6.1.2.1.2.2.1.4.47 = 9000
1.3.6.1.2.1.2.2.1.4.48 = 9000
1.3.6.1.2.1.2.2.1.4.49 = 9000
1.3.6.1.2.1.2.2.1.4.50 = 9000
1.3.6.1.2.1.2.2.1.4.51 = 9000
1.3.6.1.2.1.2.2.1.4.52 = 9000
1.3.6.1.2.1.2.2.1.4.53 = 9000
1.3.6.1.2.1.2.2.1.4.54 = 9000
1.3.6.1.2.1.2.2.1.4.55 = 9000
1.3.6.1.2.1.2.2.1.4.56 = 9000
1.3.6.1.2.1.2.2.1.4.57 = 9000
1.3.6.1.2.1.2.2.1.4.58 = 9000
1.3.6.1.2.1.2.2.1.4.59 = 9000
1.3.6.1.2.1.2.2.1.4.60 = 9000
1.3.6.1.2.1.2.2.1.4.61 = 9000
1.3.6.1.2.1.2.2.1.4.62 = 9000
1.3.6.1.2.1.2.2.1.4.63 = 9000
1.3.6.1.2.1.2.2.1.4.64 = 9000
1.3.6.1.2.1.2.2.1.4.65 = 9000
1.3.6.1.2.1.2.2.1.4.66 = 9000
1.3.6.1.2.1.2.2.1.4.67 = 9000
1.3.6.1.2.1.2.2.1.4.68 = 9000
1.3.6.1.2.1.2.2.1.4.69 = 9000
1.3.6.1.2.1.2.2.1.4.70 = 9000
1.3.6.1.2.1.2.2.1.4.71 = 9000
1.3.6.1.2.1.2.2.1.4.72 = 9000
1.3.6.1.2.1.2.2.1.4.75 = 9000
1.3.6.1.2.1.2.2.1.4.76 = 9000
1.3.6.1.2.1.2.2.1.4.77 = 9000
1.3.6.1.2.1.2.2.1.4.78 = 1500
1.3.6.1.2.1.2.2.1.4.79 = 1500
1.3.6.1.2.1.2.2.1.4.80 = 1500
1.3.6.1.2.1.2.2.1.4.81 = 4472
1.3.6.1.2.1.2.2.1.4.82 = 4472
1.3.6.1.2.1.2.2.1.4.83 = 1500
1.3.6.1.2.1.2.2.1.4.84 = 1500
1.3.6.1.2.1.2.2.1.4.85 = 1500
1.3.6.1.2.1.2.2.1.4.86 = 1500
1.3.6.1.2.1.2.2.1.4.87 = 1500
1.3.6.1.2.1.2.2.1.4.88 = 1500
1.3.6.1.2.1.2.2.1.4.89 = 1500
1.3.6.1.2.1.2.2.1.4.90 = 1500
1.3.6.1.2.1.2.2.1.4.91 = 1500
1.3.6.1.2.1.2.2.1.4.92 = 1500
1.3.6.1.2.1.2.2.1.4.93 = 1500
1.3.6.1.2.1.2.2.1.4.94 = 1500
1.3.6.1.2.1.2.2.1.4.95 = 1500
1.3.6.1.2.1.2.2.1.4.96 = 1500
1.3.6.1.2.1.2.2.1.4.97 = 1500
1.3.6.1.2.1.2.2.1.4.98 = 1500
1.3.6.1.2.1.2.2.1.4.99 = 1500
1.3.6.1.2.1.2.2.1.4.100 = 1500
1.3.6.1.2.1.2.2.1.4.101 = 1500
1.3.6.1.2.1.2.2.1.4.102 = 1500
1.3.6.1.2.1.2.2.1.4.103 = 1500
1.3.6.1.2.1.2.2.1.4.104 = 1500
1.3.6.1.2.1.2.2.1.4.105 = 1500
1.3.6.1.2.1.2.2.1.4.106 = 1500
1.3.6.1.2.1.2.2.1.4.107 = 1500
1.3.6.1.2.1.2.2.1.4.108 = 1500
1.3.6.1.2.1.2.2.1.4.109 = 1500
1.3.6.1.2.1.2.2.1.4.110 = 1500
1.3.6.1.2.1.2.2.1.4.111 = 1500
1.3.6.1.2.1.2.2.1.4.112 = 1500
1.3.6.1.2.1.2.2.1.4.113 = 1500
1.3.6.1.2.1.2.2.1.4.114 = 1500
1.3.6.1.2.1.2.2.1.4.115 = 9000
1.3.6.1.2.1.2.2.1.4.116 = 9000
1.3.6.1.2.1.2.2.1.4.117 = 9000
1.3.6.1.2.1.2.2.1.4.118 = 1500
1.3.6.1.2.1.2.2.1.4.119 = 1500
1.3.6.1.2.1.2.2.1.4.120 = 1500
1.3.6.1.2.1.2.2.1.4.121 = 9000
1.3.6.1.2.1.2.2.1.4.122 = 9000
1.3.6.1.2.1.2.2.1.4.123 = 9000
1.3.6.1.2.1.2.2.1.4.124 = 9000
1.3.6.1.2.1.2.2.1.4.125 = 1500
1.3.6.1.2.1.2.2.1.5.1 = 1000000000
1.3.6.1.2.1.2.2.1.5.2 = 4294967295
1.3.6.1.2.1.2.2.1.5.3 = 1000000000
1.3.6.1.2.1.2.2.1.5.4 = 1000000000
1.3.6.1.2.1.2.2.1.5.5 = 1000000000
1.3.6.1.2.1.2.2.1.5.6 = 1000000000
1.3.6.1.2.1.2.2.1.5.7 = 1000000000
1.3.6.1.2.1.2.2.1.5.8 = 1000000000
1.3.6.1.2.1.2.2.1.5.9 = 1000000000
1.3.6.1.2.1.2.2.1.5.10 = 1000000000
1.3.6.1.2.1.2.2.1.5.11 = 1000000000
1.3.6.1.2.1.2.2.1.5.12 = 1000000000
